Node,Betweenness Centrality,Closeness Centrality,Degree Centrality
BeingSalmanKhan,0.0,0.0,0.07371794871794872
 Eminem,0.0,0.003205128205128205,0.003205128205128205
 TIME,0.0,0.003205128205128205,0.003205128205128205
 aplusk,0.0,0.003205128205128205,0.003205128205128205
 SergioRamos,0.0,0.003205128205128205,0.003205128205128205
 DalaiLama,0.0,0.003205128205128205,0.003205128205128205
 aliaa08,0.0,0.00641025641025641,0.00641025641025641
 MariahCarey,0.0,0.003205128205128205,0.003205128205128205
 AnushkaSharma,0.0,0.00641025641025641,0.00641025641025641
 arrahman,0.0,0.00641025641025641,0.00641025641025641
 9GAG,0.0,0.00641025641025641,0.00641025641025641
 pitbull,0.0,0.003205128205128205,0.003205128205128205
 Oprah,0.0,0.003205128205128205,0.003205128205128205
 KingJames,0.0,0.003205128205128205,0.003205128205128205
 jimmyfallon,0.0,0.00641025641025641,0.00641025641025641
 cnnbrk,0.0,0.003205128205128205,0.003205128205128205
 TheEllenShow,0.0,0.003205128205128205,0.003205128205128205
 ladygaga,0.0,0.003205128205128205,0.003205128205128205
 MichelleObama,0.0,0.003205128205128205,0.003205128205128205
 tomhanks,0.0,0.003205128205128205,0.003205128205128205
 shekharkapur,0.0,0.00641025641025641,0.00641025641025641
 ShraddhaKapoor,0.0,0.00641025641025641,0.00641025641025641
 oneheartartists,0.0,0.003205128205128205,0.003205128205128205
arrahman,0.0,0.0,0.003205128205128205
 sanyamalhotra07,0.0,0.003205128205128205,0.003205128205128205
 fattysanashaikh,0.0,0.003205128205128205,0.003205128205128205
 satyamevjayate,0.0,0.003205128205128205,0.003205128205128205
aamir_khan,0.0,0.0,0.028846153846153844
 UN,0.0,0.003205128205128205,0.003205128205128205
 ndtv,0.0,0.00641025641025641,0.00641025641025641
 VancityReynolds,0.0,0.00641025641025641,0.00641025641025641
 ParineetiChopra,0.0,0.00641025641025641,0.00641025641025641
 nickjonas,0.0,0.003205128205128205,0.003205128205128205
 TheRock,0.0,0.003205128205128205,0.003205128205128205
 RobertDowneyJr,0.0,0.003205128205128205,0.003205128205128205
 Diddy,0.0,0.003205128205128205,0.003205128205128205
 ZacEfron,0.0,0.003205128205128205,0.003205128205128205
 Beyonce,0.0,0.003205128205128205,0.003205128205128205
 rihanna,0.0,0.00641025641025641,0.00641025641025641
 katyperry,0.0,0.003205128205128205,0.003205128205128205
priyankachopra,0.0,0.0,0.16025641025641024
 Abhishekapoor,0.0,0.003205128205128205,0.003205128205128205
 timesofindia,0.0,0.003205128205128205,0.003205128205128205
 UberFacts,0.0,0.003205128205128205,0.003205128205128205
 RafaelNadal,0.0,0.003205128205128205,0.003205128205128205
 CNN,0.0,0.003205128205128205,0.003205128205128205
deepikapadukone,0.0,0.0,0.16025641025641024
 rajcheerfull,0.0,0.003205128205128205,0.003205128205128205
 kapoorkkunal,0.0,0.003205128205128205,0.003205128205128205
 FarahKhanAli,0.0,0.003205128205128205,0.003205128205128205
 shiekhspear,0.0,0.003205128205128205,0.003205128205128205
 TheRajKundra,0.0,0.003205128205128205,0.003205128205128205
 kalkikanmani,0.0,0.003205128205128205,0.003205128205128205
 KomalNahta,0.0,0.003205128205128205,0.003205128205128205
 Funnyoneliners,0.0,0.003205128205128205,0.003205128205128205
 Delamori,0.0,0.003205128205128205,0.003205128205128205
 runnersworld,0.0,0.003205128205128205,0.003205128205128205
 vivekoberoi,0.0,0.003205128205128205,0.003205128205128205
 DjokerNole,0.0,0.003205128205128205,0.003205128205128205
 arjunk26,0.0,0.01282051282051282,0.01282051282051282
 Lilly,0.0,0.00641025641025641,0.00641025641025641
 rampalarjun,0.0,0.003205128205128205,0.003205128205128205
 sujoy_g,0.0,0.003205128205128205,0.003205128205128205
 DeepikaPFC,0.0,0.003205128205128205,0.003205128205128205
 pinkvilla,0.0,0.003205128205128205,0.003205128205128205
 atulkasbekar,0.0,0.003205128205128205,0.003205128205128205
 VOGUEIndia,0.0,0.003205128205128205,0.003205128205128205
 kiranshaw,0.0,0.003205128205128205,0.003205128205128205
 NeilNMukesh,0.0,0.003205128205128205,0.003205128205128205
